,onset,window,S,C
0,1,6,,0.0
0,1,12,,0.0
0,1,18,,0.0
0,1,24,,0.0
0,3,6,,0.0
0,3,12,,0.0
0,3,18,,0.0
0,3,24,,0.0
0,5,6,,0.0
0,5,12,,0.0
0,5,18,,0.0
0,5,24,,0.0
0,7,6,,0.0
0,7,12,,0.0
0,7,18,,0.0
0,7,24,,0.0
0,9,6,,0.0
0,9,12,,0.0
0,9,18,,0.0
0,9,24,,0.0
0,11,6,,0.0
0,11,12,,0.0
0,11,18,,0.0
0,11,24,,0.0
